Pattern,Retrieval,Window,Chunks,Chunking,Chunk Size,Faithfulness,Answer Correctness,LLM Judge,Citation Rate,Multilingual %,Combined,Final Score
Pattern1,window,1,3,N/A,N/A,0.4329,0.3565,0.7272727272727273,0.0,0.4090909090909091,0.3947,0.4329
Pattern10,window,1,3,N/A,N/A,0.3913,0.3125,0.7636363636363637,0.0,0.5909090909090909,0.3519,0.3913
Pattern2,window,5,5,N/A,N/A,0.353,0.2824,0.7818181818181817,0.0,0.6818181818181818,0.3177,0.353
Pattern9,window,1,3,N/A,N/A,0.3493,0.2746,0.7454545454545456,0.0,0.6363636363636364,0.31195,0.3493
Pattern6,window,1,5,N/A,N/A,0.343,0.2688,0.7545454545454546,0.0,0.6363636363636364,0.3059,0.343
Pattern4,window,1,5,N/A,N/A,0.3414,0.2744,0.7181818181818183,0.0,0.5909090909090909,0.30789999999999995,0.3414
Pattern7,window,1,5,N/A,N/A,0.3321,0.3186,0.7454545454545456,0.0,0.5,0.32535000000000003,0.3321
Pattern3,simple,0,5,N/A,N/A,0.3124,0.2779,0.7545454545454546,0.0,0.6818181818181818,0.29515,0.3124
Pattern8,window,1,10,N/A,N/A,0.3018,0.2714,0.7000000000000001,0.0,0.5454545454545454,0.28659999999999997,0.3018
Pattern5,window,1,10,N/A,N/A,0.2773,0.2978,0.7363636363636363,0.0,0.3181818181818182,0.28755,0.2773
